UniProt Accession,Gene Symbol,Protein Name,Expert Opinion,MS,IHC,mRNA
Q9UM54,MYO6,Unconventional myosin-VI,,"saliva: 218/9.86 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,23.3
Q9NQX4,MYO5C,Unconventional myosin-Vc,,"saliva: 85/3.11 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,22.6
Q9ULV0,MYO5B,Unconventional myosin-Vb,,"saliva: 19/0.66 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,21.6
Q9Y4I1,MYO5A,Unconventional myosin-Va,,"saliva: 35/0.62 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,4
Q13459,MYO9B,Unconventional myosin-IXb,,"saliva: 17/0.46 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.02 peptides",n/a,n/a
B2RTY4,MYO9A,Unconventional myosin-IXa,,"saliva: 37/0.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,8.3
Q8N1T3,MYO1H,Unconventional myosin-Ih,,"saliva: 9/0.68 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O00159,MYO1C,Unconventional myosin-Ic,,"saliva: 69/4.29 peptides
parotid gland: 3/0.02 peptides
sm/sl glands: 0/0 peptides",medium,44.5
Q86XI8,ZSWIM9,Uncharacterized protein ZSWIM9,,"saliva: 8/0.14 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,5.9
Q5HYC2,KIAA2026,Uncharacterized protein KIAA2026,,"saliva: 30/1.22 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5JYT7,KIAA1755,Uncharacterized protein KIAA1755,,"saliva: 46/3.76 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9BY89,KIAA1671,Uncharacterized protein KIAA1671,,"saliva: 16/0.71 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9ULG3,KIAA1257,Uncharacterized protein KIAA1257,,"saliva: 3/0.57 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8IV33,KIAA0825,Uncharacterized protein KIAA0825,,"saliva: 5/0.35 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5T8R8,C9orf66,Uncharacterized protein C9orf66,,"saliva: 3/0.58 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q49A92,C8orf34,Uncharacterized protein C8orf34,,"saliva: 6/1.76 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.4
Q7Z4U5,C6orf201,Uncharacterized protein C6orf201,,"saliva: 19/6.61 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6UWT4,C5orf46,Uncharacterized protein C5orf46,,"saliva: 0/0 peptides
parotid gland: 5/0.83 peptides
sm/sl glands: 4/1.72 peptides",?,107.9
Q9NWW7,C2orf42,Uncharacterized protein C2orf42,,"saliva: 25/3.08 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,4.6
Q68DN1,C2orf16,Uncharacterized protein C2orf16,,"saliva: 4/0.11 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5TEA3,C20orf194,Uncharacterized protein C20orf194,,"saliva: 19/1.52 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,6
Q8NEP4,C17orf47,Uncharacterized protein C17orf47,,"saliva: 11/1.5 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
A6NNT2,C16orf96,Uncharacterized protein C16orf96,,"saliva: 18/1.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96LL3,C16orf92,Uncharacterized protein C16orf92,,"saliva: 5/5.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
A0JNW5,UHRF1BP1L,UHRF1-binding protein 1-like,,"saliva: 22/1.22 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q3KQV9,UAP1L1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.12 peptides",n/a,n/a
Q9NYU1,UGGT2,UDP-glucose:glycoprotein glucosyltransferase 2,,"saliva: 4/0.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q15386,UBE3C,Ubiquitin-protein ligase E3C,,"saliva: 31/2.51 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,,"saliva: 2/0.29 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P22314,UBA1,Ubiquitin-like modifier-activating enzyme 1,,"saliva: 118/6.99 peptides
parotid gland: 7/0.06 peptides
sm/sl glands: 6/0.14 peptides",n/a,n/a
Q15819,UBE2V2,Ubiquitin-conjugating enzyme E2 variant 2,,"saliva: 116/31.94 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,13.8
Q13404,EntrezGene:387522;EntrezGene:7335,Ubiquitin-conjugating enzyme E2 variant 1,,"saliva: 816/327.66 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,38.6
O95155,UBE4B,Ubiquitin conjugation factor E4 B,,"saliva: 6/0.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q93009,USP7,Ubiquitin carboxyl-terminal hydrolase 7,,"saliva: 33/2.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H0E7,USP44,Ubiquitin carboxyl-terminal hydrolase 44,,"saliva: 461/50.11 peptides
parotid gland: 0/0 peptides
sm/sl glands: 1/0.09 peptides",?,1.8
Q70EL4,USP43,Ubiquitin carboxyl-terminal hydrolase 43,,"saliva: 2/0.22 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H9J4,USP42,Ubiquitin carboxyl-terminal hydrolase 42,,"saliva: 13/0.67 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NVE5,USP40,Ubiquitin carboxyl-terminal hydrolase 40,,"saliva: 3/0.25 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q13107,USP4,Ubiquitin carboxyl-terminal hydrolase 4,,"saliva: 4/0.38 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9P275,USP36,Ubiquitin carboxyl-terminal hydrolase 36,,"saliva: 3/0.17 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q70CQ2,USP34,Ubiquitin carboxyl-terminal hydrolase 34,,"saliva: 47/1.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9HBJ7,USP29,Ubiquitin carboxyl-terminal hydrolase 29,,"saliva: 5/0.11 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UHP3,USP25,Ubiquitin carboxyl-terminal hydrolase 25,,"saliva: 8/0.56 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UPU5,USP24,Ubiquitin carboxyl-terminal hydrolase 24,,"saliva: 10/0.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y5T5,USP16,Ubiquitin carboxyl-terminal hydrolase 16,,"saliva: 87/7.6 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y2Z9,COQ6,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial",,"saliva: 166/34.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,11
Q6ZU65,UBN2,Ubinuclein-2,,"saliva: 394/25.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P62312,LSM 6,U6 snRNA-associated Sm-like protein LSm6,,"saliva: 14/10.5 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y333,LSM 2,U6 snRNA-associated Sm-like protein LSm2,,"saliva: 4/3.08 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O75643,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase,,"saliva: 48/1.78 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O43172,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,,"saliva: 2/0.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P78324,SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1,,"saliva: 212/35.98 peptides
parotid gland: 4/0.09 peptides
sm/sl glands: 1/0.04 peptides",low,15
P35236,PTPN7,Tyrosine-protein phosphatase non-receptor type 7,,"saliva: 2/0.48 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q12923,PTPN13,Tyrosine-protein phosphatase non-receptor type 13,,"saliva: 5/0.15 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P42681,TXK,Tyrosine-protein kinase TXK,,"saliva: 5/0.74 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q01974,ROR2,Tyrosine-protein kinase transmembrane receptor ROR2,,"saliva: 2/0.21 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,1.2
Q9H3Y6,SRMS,Tyrosine-protein kinase Srms,,"saliva: 17/3.12 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,2.5
P35590,TIE1,Tyrosine-protein kinase receptor Tie-1,,"saliva: 158/13.48 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P52333,JAK3,Tyrosine-protein kinase JAK3,,"saliva: 5/0.42 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P07332,FES,Tyrosine-protein kinase Fes/Fps,,"saliva: 3/0.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,24.4
P42684,ABL2,Tyrosine-protein kinase ABL2,,"saliva: 5/0.49 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P14679,TYR,Tyrosinase,,"saliva: 4/0.98 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y274,ST3GAL6,"Type 2 lactosamine alpha-2,3-sialyltransferase",,"saliva: 0/0 peptides
parotid gland: 4/0.1 peptides
sm/sl glands: 0/0 peptides",medium,15.9
Q6IBS0,TWF2,Twinfilin-2,,"saliva: 74/14.38 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q12792,TWF1,Twinfilin-1,,"saliva: 146/28.66 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q99816,TSG101,Tumor susceptibility gene 101 protein,,"saliva: 4/1.02 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NS68,TNFRSF19,Tumor necrosis factor receptor superfamily member 19,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.14 peptides",n/a,n/a
P21580,TNFAIP3,Tumor necrosis factor alpha-induced protein 3,,"saliva: 2/0.2 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
B5MCY1,TDRD15,Tudor domain-containing protein 15,,"saliva: 24/0.95 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9BXT4,TDRD1,Tudor domain-containing protein 1,,"saliva: 142/6.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9GZM7,TINAGL1,Tubulointerstitial nephritis antigen-like,,"saliva: 0/0 peptides
parotid gland: 3/0.06 peptides
sm/sl glands: 0/0 peptides",not detected,24.2
Q86V25,VASH2,Tubulinyl-Tyr carboxypeptidase 2,,"saliva: 10/2.81 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6ZT98,TTLL7,Tubulin polyglutamylase TTLL7,,"saliva: 104/7.59 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14679,TTLL4,Tubulin polyglutamylase TTLL4,,"saliva: 135/10.1 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q68CL5,TPGS2,Tubulin polyglutamylase complex subunit 2,,"saliva: 99/33.29 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,12.4
P07437,TUBB,Tubulin beta chain,,"saliva: 1/0.31 peptides
parotid gland: 27/1.29 peptides
sm/sl glands: 16/1.96 peptides",n/a,n/a
P49815,TSC2,Tuberin,,"saliva: 16/0.78 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y3Q8,TSC22D4,TSC22 domain family protein 4,,"saliva: 3/0.81 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,49.2
P35030,PRSS3,Trypsin-3,,"saliva: 0/0 peptides
parotid gland: 21/17.04 peptides
sm/sl glands: 6/0.68 peptides",n/a,n/a
P19429,TNNI3,"Troponin I, cardiac muscle",,"saliva: 29/5.67 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P67936,TPM4,Tropomyosin alpha-4 chain,,"saliva: 588/93.62 peptides
parotid gland: 83/4.75 peptides
sm/sl glands: 25/3.61 peptides",high,47.6
P06753,TPM3,Tropomyosin alpha-3 chain,,"saliva: 478/62.42 peptides
parotid gland: 78/3.69 peptides
sm/sl glands: 23/2.75 peptides",medium,20.5
Q9Y3I0,RTCB,tRNA-splicing ligase RtcB homolog,,"saliva: 9/1.45 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,29.9
Q9BUB4,ADAT1,tRNA-specific adenosine deaminase 1,,"saliva: 281/35.95 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,12.2
Q9NX74,DUS2,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,,"saliva: 6/0.87 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,7.2
Q53H54,TRMT12,tRNA wybutosine-synthesizing protein 2 homolog,,"saliva: 3/0.52 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NXH9,TRMT1,tRNA (guanine(26)-N(2))-dimethyltransferase,,"saliva: 23/2.86 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O14717,TRDMT1,tRNA (cytosine(38)-C(5))-methyltransferase,,"saliva: 121/28.71 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q7Z2T5,TRMT1L,TRMT1-like protein,,"saliva: 6/0.6 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O75962,TRIO,Triple functional domain protein,,"saliva: 127/3.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O14773,TPP1,Tripeptidyl-peptidase 1,,"saliva: 0/0 peptides
parotid gland: 20/0.85 peptides
sm/sl glands: 17/1.14 peptides",n/a,n/a
Q9BYV6,TRIM55,Tripartite motif-containing protein 55,,"saliva: 7/1.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H8W5,TRIM45,Tripartite motif-containing protein 45,,"saliva: 31/4.16 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P60174,TPI1,Triosephosphate isomerase,,"saliva: 2308/546.58 peptides
parotid gland: 333/28.93 peptides
sm/sl glands: 136/34.56 peptides",medium,26
Q9HCJ0,TNRC6C,Trinucleotide repeat-containing gene 6C protein,,"saliva: 318/29.55 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O15417,TNRC18,Trinucleotide repeat-containing gene 18 protein,,"saliva: 19/0.48 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3,,"saliva: 87/8 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5QJ38,TCHHL1,Trichohyalin-like protein 1,,"saliva: 12/1.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P53007,SLC25A1,"Tricarboxylate transport protein, mitochondrial",,"saliva: 2/0.38 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q7Z2Z1,TICRR,Treslin,,"saliva: 13/0.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O43280,TREH,Trehalase,,"saliva: 5/0.75 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q07654,TFF3,Trefoil factor 3,,"saliva: 618/554.07 peptides
parotid gland: 17/4.71 peptides
sm/sl glands: 138/99.9 peptides",low,54.8
P04155,TFF1,Trefoil factor 1,,"saliva: 3/1.36 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q13428,TCOF1,Treacle protein,,"saliva: 8/0.38 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P02766,TTR,Transthyretin,,"saliva: 876/480.83 peptides
parotid gland: 108/19.24 peptides
sm/sl glands: 77/33.8 peptides",n/a,n/a
Q9C0B7,TANGO6,Transport and Golgi organization protein 6 homolog,,"saliva: 4/0.3 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q2LD37,KIAA1109,Transmembrane protein KIAA1109,,"saliva: 79/1.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q12767,TMEM94,Transmembrane protein 94,,"saliva: 15/1.23 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96HE8,TMEM80,Transmembrane protein 80,,"saliva: 80/29.46 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6YI46,TMEM64,Transmembrane protein 64,,"saliva: 21/4.92 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9BRR3,TMEM246,Transmembrane protein 246,,"saliva: 2/0.46 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,4.6
Q5SNT2,TMEM201,Transmembrane protein 201,,"saliva: 96/13.95 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q53S58,TMEM177,Transmembrane protein 177,,"saliva: 2/0.67 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q3YBM2,TMEM176B,Transmembrane protein 176B,,"saliva: 22/10.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,5.1
Q8TC26,TMEM163,Transmembrane protein 163,,"saliva: 10/3.75 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8NDZ6,TMEM161B,Transmembrane protein 161B,,"saliva: 2/0.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,15.9
Q24JP5,TMEM132A,Transmembrane protein 132A,,"saliva: 3/0.19 peptides
parotid gland: 6/0.06 peptides
sm/sl glands: 3/0.09 peptides",medium,21.5
A2VDJ0,TMEM131L,Transmembrane protein 131-like,,"saliva: 4/0.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,10.3
Q92545,TMEM131,Transmembrane protein 131,,"saliva: 2/0.11 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q7Z410,TMPRSS9,Transmembrane protease serine 9,,"saliva: 7/0.7 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UL52,TMPRSS11E,Transmembrane protease serine 11E,,"saliva: 279/40.95 peptides
parotid gland: 28/1.2 peptides
sm/sl glands: 2/0.2 peptides",low,13.6
O60235,TMPRSS11D,Transmembrane protease serine 11D,,"saliva: 569/110.99 peptides
parotid gland: 6/0.35 peptides
sm/sl glands: 4/0.22 peptides",not detected,7.6
O75069,TMCC2,Transmembrane and coiled-coil domains protein 2,,"saliva: 3/0.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O94876,TMCC1,Transmembrane and coiled-coil domains protein 1,,"saliva: 4/0.6 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O15321,TM9SF1,Transmembrane 9 superfamily member 1,,"saliva: 2/0.51 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q99598,TSNAX,Translin-associated protein X,,"saliva: 35/8.53 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P13693,TPT1,Translationally-controlled tumor protein,,"saliva: 328/119.07 peptides
parotid gland: 21/2.68 peptides
sm/sl glands: 3/0.48 peptides",medium,460.5
P49770,EIF2B2,Translation initiation factor eIF-2B subunit beta,,"saliva: 12/3.23 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,11.1
Q14232,EIF2B1,Translation initiation factor eIF-2B subunit alpha,,"saliva: 10/3.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,25.6
Q9H0I9,TKTL2,Transketolase-like protein 2,,"saliva: 5/0.92 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P29401,TKT,Transketolase,,"saliva: 3198/330.57 peptides
parotid gland: 153/5.15 peptides
sm/sl glands: 44/3.47 peptides",high,21
P55072,VCP,Transitional endoplasmic reticulum ATPase,,"saliva: 33/3.08 peptides
parotid gland: 4/0.03 peptides
sm/sl glands: 12/0.27 peptides",n/a,n/a
Q9NZQ8,TRPM5,Transient receptor potential cation channel subfamily M member 5,,"saliva: 8/0.58 peptides
parotid gland: 2/0.02 peptides
sm/sl glands: 0/0 peptides",medium,0
Q9HCF6,TRPM3,Transient receptor potential cation channel subfamily M member 3,,"saliva: 124/5.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O94759,TRPM2,Transient receptor potential cation channel subfamily M member 2,,"saliva: 10/0.64 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P37802,TAGLN2,Transgelin-2,,"saliva: 1159/378.5 peptides
parotid gland: 160/17.21 peptides
sm/sl glands: 25/5.95 peptides",not detected,67.2
P61586,RHOA,Transforming protein RhoA,,"saliva: 374/82.82 peptides
parotid gland: 27/1.96 peptides
sm/sl glands: 4/0.54 peptides",low,66.5
Q15582,TGFBI,Transforming growth factor-beta-induced protein ig-h3,,"saliva: 161/21.1 peptides
parotid gland: 6/0.07 peptides
sm/sl glands: 0/0 peptides",not detected,21.1
Q03167,TGFBR3,Transforming growth factor beta receptor type 3,,"saliva: 166/24.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86YC3,NRROS,Transforming growth factor beta activator LRRC33,,"saliva: 12/2.05 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14392,LRRC32,Transforming growth factor beta activator LRRC32,,"saliva: 9/1.6 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P62995,TRA2B,Transformer-2 protein homolog beta,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.13 peptides",n/a,n/a
Q9Y4A5,TRRAP,Transformation/transcription domain-associated protein,,"saliva: 69/1.51 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q04725,TLE2,Transducin-like enhancer protein 2,,"saliva: 33/6.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,55.5
Q86YP4,GATAD2A,Transcriptional repressor p66-alpha,,"saliva: 24/2.75 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P46100,ATRX,Transcriptional regulator ATRX,,"saliva: 14/0.23 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,15.8
O75478,TADA2A,Transcriptional adapter 2-alpha,,"saliva: 11/1.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q10571,MN1,Transcriptional activator MN1,,"saliva: 2/0.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q99551,MTERF1,"Transcription termination factor 1, mitochondrial",,"saliva: 4/0.63 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O14867,BACH1,Transcription regulator protein BACH1,,"saliva: 4/0.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,12.2
Q13263,TRIM28,Transcription intermediary factor 1-beta,,"saliva: 117/13.94 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,31.8
Q15545,TAF7,Transcription initiation factor TFIID subunit 7,,"saliva: 6/0.89 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,26.8
P49848,TAF6,Transcription initiation factor TFIID subunit 6,,"saliva: 2/0.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,17.9
