UniProt Accession,Entry name,Status,Protein names,Gene names,Organism,Length,3D,Cross-reference (SMR),,
Q9XGH2,Q9XGH2_PEA,unreviewed,Ribonuclease H (Fragment),rnaseH,Pisum sativum (Garden pea),28,,,,
Q6LCY3,Q6LCY3_PEA,unreviewed,Calmodulin,,Pisum sativum (Garden pea),149,,Q6LCY3;,,
Q9AVR9,Q9AVR9_PEA,unreviewed,Choline kinase (EC 2.7.1.32),ck1,Pisum sativum (Garden pea),343,,,,
Q84VS9,Q84VS9_PEA,unreviewed,Histone H1,his5,Pisum sativum (Garden pea),256,,,,
B7SQ92,B7SQ92_PEA,unreviewed,Putative LysM receptor kinase K1A (Fragment),K1,Pisum sativum (Garden pea),343,,,,
A0A2H4UYT6,A0A2H4UYT6_PEA,unreviewed,Putative LysM receptor kinase (Fragment),LykX,Pisum sativum (Garden pea),212,,,,
Q41032,Q41032_PEA,unreviewed,Legumin J (Fragment),J,Pisum sativum (Garden pea),36,,,,
X4YKW5,X4YKW5_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),228,,,,
A0A0K0KXI0,A0A0K0KXI0_PEA,unreviewed,Invertase inhibitor-like protein (Fragment),,Pisum sativum (Garden pea),132,,,,
A0A2Z2EUS1,A0A2Z2EUS1_PEA,unreviewed,WUSCHEL-like protein (Fragment),WUS,Pisum sativum (Garden pea),304,,,,
Q41007,Q41007_PEA,unreviewed,"Chlorophyll a-b binding protein, chloroplastic (Fragment)",Cab9,Pisum sativum (Garden pea),194,,,,
D5MAJ4,D5MAJ4_PEA,unreviewed,Cytochrome f,petA,Pisum sativum (Garden pea),320,,D5MAJ4;,,
Q52ZJ0,Q52ZJ0_PEA,unreviewed,SHORT VEGETATIVE PHASE (Fragment),SVP,Pisum sativum (Garden pea),215,,,,
D5MAH5,D5MAH5_PEA,unreviewed,"30S ribosomal protein S14, chloroplastic",rps14,Pisum sativum (Garden pea),100,,,,
Q9FVK7,Q9FVK7_PEA,unreviewed,Trans-cinnamic acid hydroxylase (Fragment),CYP73A9,Pisum sativum (Garden pea),332,,,,
Q41012,Q41012_PEA,unreviewed,Endoglucanase (EC 3.2.1.4),EGL1,Pisum sativum (Garden pea),486,,,,
Q9M7D8,Q9M7D8_PEA,unreviewed,Pre-hevein-like protein,PHLP,Pisum sativum (Garden pea),129,,,,
Q9AVH3,Q9AVH3_PEA,unreviewed,Putative senescence-associated protein,ssa-12,Pisum sativum (Garden pea),253,,,,
Q5MJ53,Q5MJ53_PEA,unreviewed,AT-rich element binding factor 3,ATF3,Pisum sativum (Garden pea),188,,,,
A0A1U9X427,A0A1U9X427_PEA,unreviewed,Amino acid permease 2c-like protein (Fragment),AAP2c,Pisum sativum (Garden pea),369,,,,
Q6VG98,Q6VG98_PEA,unreviewed,TFL1a,TFL1a,Pisum sativum (Garden pea),174,,,,
A8I367,A8I367_PEA,unreviewed,Protein-serine/threonine kinase (EC 2.7.11.-),PDK3,Pisum sativum (Garden pea),369,,,,
G9HXH2,G9HXH2_PEA,unreviewed,MADS-box transcription factor TM6,TM6,Pisum sativum (Garden pea),233,,,,
Q75NH6,Q75NH6_PEA,unreviewed,Type 2 metallothionein,MET,Pisum sativum (Garden pea),77,,,,
Q53WT6,Q53WT6_PEA,unreviewed,PI39 protein,pI39,Pisum sativum (Garden pea),74,,Q53WT6;,,
Q52ZP8,Q52ZP8_PEA,unreviewed,Suppressor of CONSTANS 1b (Fragment),,Pisum sativum (Garden pea),196,,,,
Q76KU8,Q76KU8_PEA,unreviewed,DNA binding with one finger 6 protein,PsDof6,Pisum sativum (Garden pea),230,,,,
A0A6M4EEP6,A0A6M4EEP6_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit K, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit K) (NADH-plastoquinone oxidoreductase subunit K)",ndhK,Pisum sativum (Garden pea),227,,,,
A0A0H3WA25,A0A0H3WA25_PEA,unreviewed,Cytokinin response regulator 5,,Pisum sativum (Garden pea),243,,,,
W0M6C5,W0M6C5_PEA,unreviewed,PIP2-2,PIP2-2,Pisum sativum (Garden pea),287,,,,
A2I9C0,A2I9C0_PEA,unreviewed,NADH dehydrogenase subunit 5 (Fragment),nad5,Pisum sativum (Garden pea),44,,,,
Q71QH1,Q71QH1_PEA,unreviewed,Cf-4/9 disease resistance-like protein (Fragment),PscLRR52,Pisum sativum (Garden pea),109,,,,
Q8H6L2,Q8H6L2_PEA,unreviewed,Antimicrobial defensin peptide DRR230-c (Fragment),DRR230-c,Pisum sativum (Garden pea),60,,,,
X4Y813,X4Y813_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),228,,,,
B7Z177,B7Z177_PEA,unreviewed,Lipoxygenase (EC 1.13.11.-),loxN3,Pisum sativum (Garden pea),866,,,,
B5A8N6,B5A8N6_PEA,unreviewed,Lectin,psl,Pisum sativum (Garden pea),275,,B5A8N6;,,
Q1I183,Q1I183_PEA,unreviewed,Putative chromatin assembly factor protein (Fragment),FAS1,Pisum sativum (Garden pea),64,,,,
Q93X25,Q93X25_PEA,unreviewed,Thioredoxin-dependent peroxiredoxin (EC 1.11.1.24),,Pisum sativum (Garden pea),263,,,,
Q9LEC2,Q9LEC2_PEA,unreviewed,COP1 regulatory protein,cop1,Pisum sativum (Garden pea),970,,,,
Q9T2N5,Q9T2N5_PEA,unreviewed,NADP-malate dehydrogenase (EC 1.1.1.82) (Fragments),,Pisum sativum (Garden pea),31,,,,
G9JKP3,G9JKP3_PEA,unreviewed,Plastid OEP16.2,,Pisum sativum (Garden pea),182,,,,
Q6YBV8,Q6YBV8_PEA,unreviewed,Cryptochrome 2A (Fragment),CRY2A,Pisum sativum (Garden pea),375,,,,
Q9AXI4,Q9AXI4_PEA,unreviewed,APETAL2-like protein,,Pisum sativum (Garden pea),533,,,,
Q52ZH8,Q52ZH8_PEA,unreviewed,FVE,FVE,Pisum sativum (Garden pea),515,,,,
Q0GRC6,Q0GRC6_PEA,unreviewed,mRNA cap-binding protein,WLV,Pisum sativum (Garden pea),228,,,,
Q9AVA2,Q9AVA2_PEA,unreviewed,Nodule-specific protein,PsN314,Pisum sativum (Garden pea),56,,,,
Q672H5,Q672H5_PEA,unreviewed,Steroid 5-alpha-reductase DET2 (EC 1.3.1.22),,Pisum sativum (Garden pea),271,,,,
Q4VYF4,Q4VYF4_PEA,unreviewed,SNF1-related protein kinase regulatory beta subunit 1,akin beta1,Pisum sativum (Garden pea),279,,,,
B2BA73,B2BA73_PEA,unreviewed,Gibberellin 3-oxidase,GA3ox2,Pisum sativum (Garden pea),349,,,,
Q41061,Q41061_PEA,unreviewed,Small G protein,,Pisum sativum (Garden pea),215,,,,
Q00654,Q00654_PEA,unreviewed,Protein serine/threonine kinase (Fragment),PsPK1,Pisum sativum (Garden pea),124,,,,
Q0WX63,Q0WX63_PEA,unreviewed,Subtilisin protease-like dd21.5 protein (Fragment),,Pisum sativum (Garden pea),72,,,,
A0A088LM09,A0A088LM09_PEA,unreviewed,Beta-amyrin 24-hydroxylase CYP93E8,,Pisum sativum (Garden pea),524,,,,
Q9ZZU0,Q9ZZU0_PEA,unreviewed,Ribosomal protein L5,rpl5,Pisum sativum (Garden pea),185,,,,
A4UTS0,A4UTS0_PEA,unreviewed,Chloroplast glutamate/malate translocator (Fragment),,Pisum sativum (Garden pea),519,,,,
Q84ZW0,Q84ZW0_PEA,unreviewed,Ent-kaurenoic acid oxidase,KAO2,Pisum sativum (Garden pea),490,,,,
Q56NI3,Q56NI3_PEA,unreviewed,MADS box protein M7,,Pisum sativum (Garden pea),243,,,,
L7V0B5,L7V0B5_PEA,unreviewed,Histone H1 subtype 6,His6,Pisum sativum (Garden pea),212,,,,
D2DNK2,D2DNK2_PEA,unreviewed,Pseudo response regulator 59 (Fragment),PRR59,Pisum sativum (Garden pea),469,,,,
A0A0F6NG56,A0A0F6NG56_PEA,unreviewed,"50S ribosomal protein L23, chloroplastic",rpl23,Pisum sativum (Garden pea),98,,,,
A0A0M3KL10,A0A0M3KL10_PEA,unreviewed,Photosystem I reaction center subunit VI,,Pisum sativum (Garden pea),90,X-ray crystallography (2),,,
Q5JC57,Q5JC57_PEA,unreviewed,Putative peroxidase (Fragment),,Pisum sativum (Garden pea),115,,,,
D5MAK1,D5MAK1_PEA,unreviewed,"ATP synthase subunit b, chloroplastic (ATP synthase F(0) sector subunit b) (ATPase subunit I)",atpF,Pisum sativum (Garden pea),172,,D5MAK1;,,
Q9FVK6,Q9FVK6_PEA,unreviewed,Wound-inducible P450 hydroxylase,CYP82A1,Pisum sativum (Garden pea),540,,,,
A0A0H5BZE6,A0A0H5BZE6_PEA,unreviewed,Biotin carboxyl carrier protein,Bccp,Pisum sativum (Garden pea),290,,,,
E1C9K8,E1C9K8_PEA,unreviewed,Uncharacterized protein,,Pisum sativum (Garden pea),138,X-ray crystallography (4),E1C9K8;,,
Q9SWS9,Q9SWS9_PEA,unreviewed,40S ribosomal protein S26,RPS26,Pisum sativum (Garden pea),130,,,,
Q9SW94,Q9SW94_PEA,unreviewed,G protein beta subunit,,Pisum sativum (Garden pea),377,,,,
L7R6J1,L7R6J1_PEA,unreviewed,Maturase K (Fragment),matK,Pisum sativum (Garden pea),506,,,,
Q8VYX6,Q8VYX6_PEA,unreviewed,Ultraviolet-B-inducible auxin-related protein (Fragment),,Pisum sativum (Garden pea),60,,,,
A0A2H4UYR8,A0A2H4UYR8_PEA,unreviewed,Putative LysM receptor kinase (Fragment),LykX,Pisum sativum (Garden pea),212,,,,
A4UTS5,A4UTS5_PEA,unreviewed,"Ferredoxin--NADP reductase, chloroplastic (FNR) (EC 1.18.1.2)",,Pisum sativum (Garden pea),360,,,,
B9X289,B9X289_PEA,unreviewed,Auxin efflux carrier component,PsPIN1,Pisum sativum (Garden pea),599,,,,
Q9ZR23,Q9ZR23_PEA,unreviewed,Xyloglucan endotransglucosylase/hydrolase (EC 2.4.1.207),Ps-EXGT1,Pisum sativum (Garden pea),293,,,,
Q52ZI8,Q52ZI8_PEA,unreviewed,CONSTANS-LIKE a,COLa,Pisum sativum (Garden pea),405,,,,
A0A1U9X402,A0A1U9X402_PEA,unreviewed,Bidirectional sugar transporter 2b-like protein (Fragment),SWEET2b,Pisum sativum (Garden pea),167,,,,
Q52ZI2,Q52ZI2_PEA,unreviewed,TIMING OF CAB 1 (Fragment),TOC1,Pisum sativum (Garden pea),53,,,,
G0ZGI5,G0ZGI5_PEA,unreviewed,BRC1,BRC1,Pisum sativum (Garden pea),414,,,,
A0A386K0Z9,A0A386K0Z9_PEA,unreviewed,Sucrose synthase (EC 2.4.1.13) (Fragment),Sus1,Pisum sativum (Garden pea),806,,,,
Q9AV98,Q9AV98_PEA,unreviewed,UDP-D-glucuronate carboxy-lyase (EC 4.1.1.35),uxs1,Pisum sativum (Garden pea),346,,,,
O82418,O82418_PEA,unreviewed,Auxin-induced protein (Fragment),,Pisum sativum (Garden pea),167,,,,
Q76KU2,Q76KU2_PEA,unreviewed,Apyrase,,Pisum sativum (Garden pea),455,,,,
A0A1U9X430,A0A1U9X430_PEA,unreviewed,Amino acid permease 1-like protein,AAP1,Pisum sativum (Garden pea),475,,,,
Q76KV4,Q76KV4_PEA,unreviewed,S-adenosylmethionine synthetase-3 (Fragment),SAMS-3,Pisum sativum (Garden pea),139,,,,
Q52ZP3,Q52ZP3_PEA,unreviewed,GIGANTEA-like protein (Fragment),,Pisum sativum (Garden pea),255,,,,
A0A0K1U4C1,A0A0K1U4C1_PEA,unreviewed,Molybdate transporter 1-like protein,Motr1,Pisum sativum (Garden pea),467,,,,
D5MAI6,D5MAI6_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit H, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit H) (NADH-plastoquinone oxidoreductase 49 kDa subunit) (NADH-plastoquinone oxidoreductase subunit H)",ndhH,Pisum sativum (Garden pea),393,,,,
Q9FEU4,Q9FEU4_PEA,unreviewed,Carboxypeptidase (EC 3.4.16.-) (Fragment),cp-a,Pisum sativum (Garden pea),494,,,,
Q0WX62,Q0WX62_PEA,unreviewed,C2.6 protein,C2.6,Pisum sativum (Garden pea),164,,,,
O24302,O24302_PEA,unreviewed,Sucrose synthase (EC 2.4.1.14) (Fragment),sus,Pisum sativum (Garden pea),164,,,,
B9ZZP2,B9ZZP2_PEA,unreviewed,L-ascorbate oxidase (EC 1.10.3.3),PsAAO1,Pisum sativum (Garden pea),573,,,,
Q8LP13,Q8LP13_PEA,unreviewed,ABA insensitive 3,abi3,Pisum sativum (Garden pea),730,,,,
Q9M711,Q9M711_PEA,unreviewed,Putative Hs1pro-1 homolog,Hs1pro-1,Pisum sativum (Garden pea),466,,,,
Q8LKG0,Q8LKG0_PEA,unreviewed,Drm4,,Pisum sativum (Garden pea),129,,,,
Q6SQ55,Q6SQ55_PEA,unreviewed,Maturase (Fragment),matR,Pisum sativum (Garden pea),505,,,,
Q64EX4,Q64EX4_PEA,unreviewed,MtN19-like protein,,Pisum sativum (Garden pea),435,,,,
Q9ZZT9,Q9ZZT9_PEA,unreviewed,Ribosomal protein S14,rps14,Pisum sativum (Garden pea),100,,,,
K9W7K8,K9W7K8_PEA,unreviewed,Putative NBS-LRR type disease resistance protein (Fragment),RGA,Pisum sativum (Garden pea),180,,,,
Q76KV6,Q76KV6_PEA,unreviewed,S-adenosylmethionine synthetase-1 (Fragment),SAMS-1,Pisum sativum (Garden pea),141,,,,
Q95AH9,Q95AH9_PEA,unreviewed,Putative thioredoxin m2,trxm2,Pisum sativum (Garden pea),180,,,,
A0A0K0L392,A0A0K0L392_PEA,unreviewed,Plastid phosphoglucomutase (Fragment),rug3,Pisum sativum (Garden pea),30,,,,
Q6TEC2,Q6TEC2_PEA,unreviewed,mRNA cap-binding protein (Fragment),eIF(iso)4E,Pisum sativum (Garden pea),101,,,,
Q4VYF3,Q4VYF3_PEA,unreviewed,Putative SNF1-related protein kinase regulatory beta subunit 2 (Fragment),akin beta2,Pisum sativum (Garden pea),136,,,,
Q208P4,Q208P4_PEA,unreviewed,RAMOSUS4,RMS4,Pisum sativum (Garden pea),708,,,,
Q5ZGL1,Q5ZGL1_PEA,unreviewed,Seed albumin 2 (Fragment),pa2,Pisum sativum (Garden pea),51,,,,
E7D0A8,E7D0A8_PEA,unreviewed,Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment),rbcL,Pisum sativum (Garden pea),192,,,,
Q84UI8,Q84UI8_PEA,unreviewed,Pectinesterase (EC 3.1.1.11),Pspme1,Pisum sativum (Garden pea),554,,,,
A0A0K0KZM3,A0A0K0KZM3_PEA,unreviewed,Cell wall invertase (Fragment),bfruct1,Pisum sativum (Garden pea),44,,,,
Q6IZE5,Q6IZE5_PEA,unreviewed,mRNA cap-binding protein,sbm-1,Pisum sativum (Garden pea),228,,,,
X4YKV9,X4YKV9_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),228,,,,
Q659S8,Q659S8_PEA,unreviewed,Putative His-Asp phosphotransfer protein,hpt,Pisum sativum (Garden pea),154,,,,
Q5JC59,Q5JC59_PEA,unreviewed,Putative S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase,,Pisum sativum (Garden pea),360,,,,
F2X2B3,F2X2B3_PEA,unreviewed,Sucrose phosphate synthase B (Fragment),SPSB,Pisum sativum (Garden pea),213,,,,
Q49KD0,Q49KD0_PEA,unreviewed,Transposase (Fragment),,Pisum sativum (Garden pea),128,,,,
Q7DLZ7,Q7DLZ7_PEA,unreviewed,Beta-fructofuranosidase (Invertase) (EC 3.2.1.26) (Fragment),bfruct1,Pisum sativum (Garden pea),105,,,,
B7SQA9,B7SQA9_PEA,unreviewed,Putative LysM receptor kinase SYM37A,Sym37,Pisum sativum (Garden pea),617,,,,
F8RP38,F8RP38_PEA,unreviewed,Zinc finger protein LSD1,,Pisum sativum (Garden pea),176,,,,
A5Y6J3,A5Y6J3_PEA,unreviewed,EARLY FLOWERING 3 (Fragment),ELF3,Pisum sativum (Garden pea),339,,,,
Q6WAZ0,Q6WAZ0_PEA,unreviewed,Uncharacterized protein,,Pisum sativum (Garden pea),562,,,,
Q52ZQ0,Q52ZQ0_PEA,unreviewed,CONSTANS-like protein (Fragment),,Pisum sativum (Garden pea),217,,,,
Q9T0N0,Q9T0N0_PEA,unreviewed,14-3-3-like protein,14-3-3,Pisum sativum (Garden pea),260,,,,
A3DSX2,A3DSX2_PEA,unreviewed,Sucrose transport protein SUF1,,Pisum sativum (Garden pea),511,,,,
Q7XAU5,Q7XAU5_PEA,unreviewed,Isoflavone synthase,CYP93C18,Pisum sativum (Garden pea),524,,,,
A0A2H4UYG8,A0A2H4UYG8_PEA,unreviewed,Putative LysM receptor kinase K1 (Fragment),K1,Pisum sativum (Garden pea),211,,,,
A0A0K1U4B8,A0A0K1U4B8_PEA,unreviewed,Sulfate transporter 3.4-like protein,Sultr3.4,Pisum sativum (Garden pea),649,,,,
Q32901,Q32901_PEA,unreviewed,Pea chloroplast ATP synthase CF0 subunit III (atpH) protein (Fragment),,Pisum sativum (Garden pea),49,,,,
A0A2H4MY20,A0A2H4MY20_PEA,unreviewed,Ribosomal protein S14,rps14,Pisum sativum (Garden pea),100,,,,
Q9LRI4,Q9LRI4_PEA,unreviewed,PsAD2,PsAD2,Pisum sativum (Garden pea),98,,,,
Q5DW98,Q5DW98_PEA,unreviewed,Plastid envelope DNA binding protein,PEND,Pisum sativum (Garden pea),613,,,,
I6ZEL8,I6ZEL8_PEA,unreviewed,Putative LysM receptor kinase (Fragment),K1,Pisum sativum (Garden pea),210,,,,
Q56H85,Q56H85_PEA,unreviewed,Amino acid transporter (Fragment),AAP2,Pisum sativum (Garden pea),468,,,,
D5KXH7,D5KXH7_PEA,unreviewed,Phosphate transporter (Fragment),PT4,Pisum sativum (Garden pea),525,,,,
A0A386K1E5,A0A386K1E5_PEA,unreviewed,Sucrose synthase (EC 2.4.1.13) (Fragment),Sus1,Pisum sativum (Garden pea),806,,,,
A0A1U9X434,A0A1U9X434_PEA,unreviewed,Amino acid permease 7b-like protein (Fragment),AAP1,Pisum sativum (Garden pea),345,,,,
Q76KW2,Q76KW2_PEA,unreviewed,Hydroxyproline-rich glycoprotein-3 (Fragment),HRGP-3,Pisum sativum (Garden pea),137,,,,
A0A0H3W9R3,A0A0H3W9R3_PEA,unreviewed,Adenosine phosphate-isopentenyltransferase 3,,Pisum sativum (Garden pea),328,,,,
Q9M6R8,Q9M6R8_PEA,unreviewed,Mitogen-activated protein kinase (EC 2.7.11.24),Mapk2,Pisum sativum (Garden pea),372,,,,
B2BA71,B2BA71_PEA,unreviewed,CRY,CRY,Pisum sativum (Garden pea),532,,B2BA71;,,
A0A0K1U4H7,A0A0K1U4H7_PEA,unreviewed,Molybdate transporter 2-like protein,Motr2,Pisum sativum (Garden pea),484,,,,
E5KXR4,E5KXR4_PEA,unreviewed,Truncated A2 protein,A2,Pisum sativum (Garden pea),111,,,,
A0A386K0Y9,A0A386K0Y9_PEA,unreviewed,Sucrose synthase (EC 2.4.1.13) (Fragment),Sus1,Pisum sativum (Garden pea),806,,,,
Q8VYX9,Q8VYX9_PEA,unreviewed,Ultraviolet-B-repressible rubisco activase (Fragment),,Pisum sativum (Garden pea),50,,,,
X4XYQ4,X4XYQ4_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),228,,,,
Q6VG97,Q6VG97_PEA,unreviewed,TFL1b (Fragment),TFL1b,Pisum sativum (Garden pea),91,,,,
O65207,O65207_PEA,unreviewed,Ferredoxin-NADP+ reductase (Fragment),,Pisum sativum (Garden pea),30,,,,
Q9XGH0,Q9XGH0_PEA,unreviewed,Ribonuclease H (Fragment),rnaseH,Pisum sativum (Garden pea),25,,,,
A0A0H3WB72,A0A0H3WB72_PEA,unreviewed,Class II knotted-1-like 9 homeobox transcription factor,,Pisum sativum (Garden pea),339,,,,
I6P9G0,I6P9G0_PEA,unreviewed,Tryptophan aminotransferase-like protein 3,TAR3,Pisum sativum (Garden pea),386,,,,
Q9AVH1,Q9AVH1_PEA,unreviewed,Putative senescence-associated protein,ssa-15,Pisum sativum (Garden pea),279,,,,
Q6WAY9,Q6WAY9_PEA,unreviewed,Pol (Fragment),,Pisum sativum (Garden pea),237,,,,
Q9SSU7,Q9SSU7_PEA,unreviewed,Endoglucanase (EC 3.2.1.4),EGL2,Pisum sativum (Garden pea),506,,,,
O24300,O24300_PEA,unreviewed,PtxA protein,ptxA,Pisum sativum (Garden pea),352,,,,
B7SQA0,B7SQA0_PEA,unreviewed,Putative LysM receptor kinase K1B (Fragment),K1,Pisum sativum (Garden pea),345,,,,
Q8H6G2,Q8H6G2_PEA,unreviewed,G protein alpha I subunit,,Pisum sativum (Garden pea),384,,,,
Q41070,Q41070_PEA,unreviewed,Putative zinc finger protein,,Pisum sativum (Garden pea),273,,,,
A7X6P5,A7X6P5_PEA,unreviewed,Ribosomal protein L30e,,Pisum sativum (Garden pea),112,,,,
B7SQ89,B7SQ89_PEA,unreviewed,Putative LysM receptor kinase K1B,K1,Pisum sativum (Garden pea),622,,,,
Q8LSN7,Q8LSN7_PEA,unreviewed,Short-chain alcohol dehydrogenase SAD-C (Fragment),sadC,Pisum sativum (Garden pea),41,,,,
Q9T2L3,Q9T2L3_PEA,unreviewed,"D-fructose-1,6-bisphosphate 1-phosphohydrolase (EC 3.1.3.11)",,Pisum sativum (Garden pea),357,,,,
Q9FV31,Q9FV31_PEA,unreviewed,33 kDa ribonucleoprotein (Fragment),,Pisum sativum (Garden pea),109,,,,
Q8HS23,Q8HS23_PEA,unreviewed,PsbH (Fragment),psbH,Pisum sativum (Garden pea),28,,,,
Q14ST8,Q14ST8_PEA,unreviewed,Lipoxygenase (EC 1.13.11.-),loxN2,Pisum sativum (Garden pea),826,,,,
E7BBI2,E7BBI2_PEA,unreviewed,Putative LysM receptor kinase (K1) (Fragment),k1,Pisum sativum (Garden pea),88,,,,
B3F0K7,B3F0K7_PEA,unreviewed,Alkaline alpha-galactosidase,aGa1,Pisum sativum (Garden pea),777,,,,
Q8GUR8,Q8GUR8_PEA,unreviewed,Thioredoxin h,,Pisum sativum (Garden pea),130,,,,
Q64FZ9,Q64FZ9_PEA,unreviewed,Ubiquitin conjugating enzyme E2 (Fragment),,Pisum sativum (Garden pea),61,,,,
O03153,O03153_PEA,unreviewed,NdhB protein (Fragment),ndhB,Pisum sativum (Garden pea),148,,,,
Q94RB5,Q94RB5_PEA,unreviewed,Cytochrome c oxidase subunit 2,cox2,Pisum sativum (Garden pea),259,,,,
W8VNI6,W8VNI6_PEA,unreviewed,Guanylate kinase (EC 2.7.4.8),PsGKpm,Pisum sativum (Garden pea),282,,,,
Q41063,Q41063_PEA,unreviewed,Pea shoot-specific protein,,Pisum sativum (Garden pea),196,,,,
A0A1U9X3Y1,A0A1U9X3Y1_PEA,unreviewed,Cytokinin oxidase/dehydrogenase 1-like protein (Fragment),CKX1,Pisum sativum (Garden pea),248,,,,
B8XS03,B8XS03_PEA,unreviewed,NO APICAL MERISTEM2,NAM2,Pisum sativum (Garden pea),376,,,,
B4XEV7,B4XEV7_PEA,unreviewed,ABI3-like factor,ABI3,Pisum sativum (Garden pea),313,,,,
Q6WAY7,Q6WAY7_PEA,unreviewed,Gag/pol polyprotein (Fragment),,Pisum sativum (Garden pea),1814,,,,
Q8H1A3,Q8H1A3_PEA,unreviewed,DNA helicase (EC 3.6.4.12),mcm6,Pisum sativum (Garden pea),827,,,,
Q9XGH3,Q9XGH3_PEA,unreviewed,Ribonuclease H (Fragment),rnaseH,Pisum sativum (Garden pea),24,,,,
B4XEV4,B4XEV4_PEA,unreviewed,ABI3-like factor,ABI3,Pisum sativum (Garden pea),515,,,,
A0A1U9X3Y6,A0A1U9X3Y6_PEA,unreviewed,Cytokinin dehydrogenase (EC 1.5.99.12),CKX3,Pisum sativum (Garden pea),542,,,,
A0A0F6NG84,A0A0F6NG84_PEA,unreviewed,"50S ribosomal protein L16, chloroplastic",rpl16,Pisum sativum (Garden pea),136,,,,
Q0KKQ5,Q0KKQ5_PEA,unreviewed,Cytochrome c oxidase subunit Vb,coxVb,Pisum sativum (Garden pea),155,,,,
A0A0K1U4L0,A0A0K1U4L0_PEA,unreviewed,Sulfate transporter 3.1-like protein,Sultr3.1,Pisum sativum (Garden pea),658,,,,
Q8S4X3,Q8S4X3_PEA,unreviewed,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),,Pisum sativum (Garden pea),464,,,,
A0A0F6NGM0,A0A0F6NGM0_PEA,unreviewed,"50S ribosomal protein L2, chloroplastic",rpl2,Pisum sativum (Garden pea),275,,,,
A0A0Y0DH83,A0A0Y0DH83_PEA,unreviewed,NSP1,Sym34,Pisum sativum (Garden pea),555,,,,
A0A2H4UYC5,A0A2H4UYC5_PEA,unreviewed,Putative LysM receptor kinase K1 (Fragment),K1,Pisum sativum (Garden pea),211,,,,
Q6LCV0,Q6LCV0_PEA,unreviewed,Glutamine synthetase (Fragment),GS2,Pisum sativum (Garden pea),52,,,,
Q6EAN1,Q6EAN1_PEA,unreviewed,Mutant cryptochrome 1-1 protein,cry1-1,Pisum sativum (Garden pea),682,,,,
Q6WD26,Q6WD26_PEA,unreviewed,Phototropin-like protein (Fragment),,Pisum sativum (Garden pea),468,,,,
A0A6M4EEN3,A0A6M4EEN3_PEA,unreviewed,DNA-directed RNA polymerase subunit beta' (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta') (RNA polymerase subunit beta'),rpoC1,Pisum sativum (Garden pea),684,,,,
Q8RVT9,Q8RVT9_PEA,unreviewed,ATP diphosphohydrolase,,Pisum sativum (Garden pea),455,,,,
Q3LSN3,Q3LSN3_PEA,unreviewed,PMR5N domain-containing protein,,Pisum sativum (Garden pea),371,,,,
Q40985,Q40985_PEA,unreviewed,Pisum sativum clone MFRTPCR117 wound-inducible cytochrome P450 (Fragment),,Pisum sativum (Garden pea),89,,,,
X4YMP3,X4YMP3_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),228,,,,
Q9MUC1,Q9MUC1_PEA,unreviewed,Photosystem II CP47 reaction center protein (Fragment),psbB,Pisum sativum (Garden pea),453,,,,
Q4KX32,Q4KX32_PEA,unreviewed,Putative NOS (Fragment),,Pisum sativum (Garden pea),261,,,,
A0A0K1U4K5,A0A0K1U4K5_PEA,unreviewed,Sulfate transporter 1.1-like protein,Sultr1.1,Pisum sativum (Garden pea),658,,,,
Q43084,Q43084_PEA,unreviewed,Ferredoxin NADP+ reductase (EC 1.18.1.2) (Fragment),petE,Pisum sativum (Garden pea),91,,,,
D5MAH6,D5MAH6_PEA,unreviewed,Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB),psaB,Pisum sativum (Garden pea),734,,D5MAH6;,,
Q93X24,Q93X24_PEA,unreviewed,Thioredoxin,trxh,Pisum sativum (Garden pea),118,,,,
B7SQ87,B7SQ87_PEA,unreviewed,Putative LysM receptor kinase K1B,K1,Pisum sativum (Garden pea),622,,,,
A9Q1K3,A9Q1K3_PEA,unreviewed,SYM8 (Fragment),SYM8,Pisum sativum (Garden pea),262,,,,
A0A0K0L0Q4,A0A0K0L0Q4_PEA,unreviewed,Starch branching enzyme II (Fragment),SbeII,Pisum sativum (Garden pea),44,,,,
A0A068C9V2,A0A068C9V2_PEA,unreviewed,Sterile nodes,SN,Pisum sativum (Garden pea),309,,,,
Q948W7,Q948W7_PEA,unreviewed,Zinc-binding protein,,Pisum sativum (Garden pea),233,,,,
